objectid,filename,title,format,description,creator,date,date-is-approximate?,item_information,subject,source,identifier,rights,type,language
cats001,babies.jpg,Baby Picture,image/jpeg,"Picture of Pan and Lulu, ages 2 months and 2 years, sitting in a window.",Kayla Reed,2012,yes,single-page; photographs,Pan; Lulu; Kitten,Saved Phone image,babies,Kayla Reed,Image;StillImage,eng
cats002,cuddles.jpg,Cuddling Cats,image/jpeg,"Picture of Pan and Lulu, ages 9 and 11 years, cuddling on the couch. ",Kayla Reed,2021,yes,single-page; photographs,Pan; Lulu; Cats,Saved Phone image,cuddles,Kayla Reed,Image;StillImage,eng
cats003,kingpan.jpg,King Pan,image/jpeg,Picture of Pan in a small crown and Thunder vest. ,Kayla Reed,2021,yes,single-page; photographs,Pan; costume; Halloween,Saved Phone image,kingpan,Kayla Reed,Image;StillImage,eng
cats004,lulubed.jpg,Lulu on the Bed,image/jpeg,Picture of Lulu lying on the bed. ,Kayla Reed,2021,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats005,lululion.jpg,Lulu the Lion,image/jpeg,Picture of Lulu in her cube toy. ,Kayla Reed,2021,yes,single-page; photographs,Lulu; Lion,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats006,lululook.jpg,Lulu giving a look,image/jpeg,Picture of Lulu giving me a look. ,Kayla Reed,2021,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats007,luluwindow.jpg,Lulu looking out the window,image/jpeg,Picture of Lulu looking out from the window.,Kayla Reed,2021,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats008,panbed.jpg,Pan on the Bed,image/jpeg,Picture of Pan lying on the bed. ,Kayla Reed,2021,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats009,panfloor.jpg,Pan on the Floor,image/jpeg,Picture of Pan staring up from the floor. ,Kayla Reed,2021,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats010,pansleep.jpg,Pan Sleeping,image/jpeg,Picture of Pan Sleeping.,Kayla Reed,2021,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats011,chairtime.jpg,Cats on a Chair,image/jpeg,Picture of Pan and Lulu on a desk chair together.,Kayla Reed,2016,yes,single-page; photographs,Pan; Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats012,hotel.jpg,Cat Hotel,image/jpeg,Picutre of Pan and Lulu playing in their hotel.,Kayla Reed,2018,yes,single-page; photographs,Pan; Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats013,lulubasket.jpg,Lulu in a Basket,image/jpeg,Picture of Lulu in a basket.,Kayla Reed,2017,yes,single-page; photographs,Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats014,luluface.jpg,Lulu's Face,image/jpeg,Close up picture of Lulu's face.,Kayla Reed,2017,yes,single-page; photographs,Lulu,Facebook image,,Kayla Reed,Image;StillImage,eng
cats015,panbasket.jpg,Pan in a basket,image/jpeg,Picture of Pan in a laundry basket.,Kayla Reed,2016,yes,single-page; photographs,Pan,Facebook image,,Kayla Reed,Image;StillImage,eng
cats016,pancat.jpg,Pan labeled a cat,image/jpeg,Picture of Pan laying on a pillowcase that says The Cat.,Kayla Reed,2019,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats017,panfeet.jpg,Pan's feet,image/jpeg,Picture of Pan with his big rabbit feet.,Kayla Reed,2019,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats018,panmeme.jpg,Pan as a meme,image/jpeg,Picture of Pan was as a meme.,Unknown,2019,yes,single-page; photographs,Pan; Meme,Facebook image,,Kayla Reed,Image;StillImage,eng
cats019,panmeme.pdf,Pan meme,application/pdf,Pan as a meme in PDF form.,Unknown,2019,yes,single-page; photographs,Pan; Meme,Facebook image,,Kayla Reed,Text,eng
cats020,panpumpkin.jpg,Pan's pumpkin,image/jpeg,Picture of Pan with his halloween pumpkin.,Kayla Reed,2017,yes,single-page; photographs,Pan; Halloween,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats021,pantube.jpg,Pan in a tube,image/jpeg,Picture of Pan halfway in a tube.,Kayla Reed,2019,yes,single-page; photographs,Pan,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats022,panvideo.mp4,Pan in a video,video/mp4,Video recording of Pan blocking the heat to the house. ,Kayla Reed,2018,yes,video,Pan,Saved Phone video,,Kayla Reed,Audio,eng
cats023,tacotruck.jpg,Cats and taco truck,image/jpeg,Picture of the cats with their taco truck.,Kayla Reed,2019,yes,single-page; photographs,Pan; Lulu,Saved Phone image,,Kayla Reed,Image;StillImage,eng
cats024,header.jpg,Cats in Hotel kiss,image/jpeg,Picture of the cats nose kissing in the hotel, Kayla Reed,2018,yes,single-page; photographs, Pan; Lulu,Saved Phone image, Kayla Reed,Stillimage,eng
